title,authors,eprint_number,arXiv_category,doi,citation_count,abstract
Universal Gravitational Wave Signatures of Cosmological Solitons,"Kaloian D. Lozanov, Misao Sasaki, Volodymyr Takhistov",2304.06709,astro-ph.CO,,9,"Cosmological solitonic objects such as monopoles, cosmic strings, domain walls, oscillons and Q-balls often appear in theories of the early Universe. We demonstrate that such scenarios are generically accompanied by a novel production source of gravitational waves stemming from soliton isocurvature perturbations. The resulting induced universal gravitational waves (UGWs) reside at lower frequencies compared to gravitational waves typically associated with soliton formation. We show that UGWs from axion-like particle (ALP) oscillons, originating from ALP misalignment, extend the frequency range of produced gravitational waves by more than two orders of magnitude regardless of the ALP mass and decay constant and can be observable in upcoming gravitational wave experiments. UGWs open a new route for gravitational wave signatures in broad classes of cosmological theories."
Neutrino signals from Neutron Star implosions to Black Holes,"Yossef Zenati, C. Albertus, M. Ángeles Pérez-García, Joseph Silk",2304.06746,astro-ph.CO,,2,"We calculate the neutrino luminosity in an astrophysical scenario where dark matter is captured by a neutron star which eventually implodes to form a low mass black hole. The Trojan horse scenario involves the collapse of a neutron star (NS) due to the accumulation of a critical amount of dark matter (DM) during its lifetime. As a result, a central disk forms out of the ejected material with a finite radial extension, density, temperature, and lepton fraction, producing fainter neutrino luminosities and colder associated spectra than found in a regular core-collapse supernova. The emitted gravitational wave (GW) signal from the imploding NS should be detectable at ultra-high $\gtrsim 0.1$ GHz frequencies."
Circularly polarized gravitational waves in Chern-Simons gravity originating from an axion domain wall,"Sugumi Kanno, Jiro Soda, Akira Taniguchi",2304.03944,hep-th,10.1103/PhysRevD.108.083525,0,"We study a scattering problem of gravitational waves (GWs) by an axion domain wall in Chern-Simons (CS) gravity. We find that circular polarization of GWs is produced after passing through the domain wall. It turns out that the circular polarization is sizable if the frequency of the GW is comparable to a critical value determined by the characteristic CS length scale and the energy scale of the axion domain wall. Thus, observations of the circular polarization could give a stringent constraint on the characteristic CS length scale or could be a new avenue to search for axion."
Oscillon formation during inflationary preheating with general relativity,"Josu C. Aurrekoetxea, Katy Clough, Francesco Muia",2304.01673,gr-qc,10.1103/PhysRevD.108.023501,8,"We study the non-perturbative evolution of inflationary fluctuations during preheating using fully non-linear general-relativistic field-theory simulations. We choose a single-field inflationary model that is consistent with observational constraints and start the simulations at the end of inflation with fluctuations both in the field and its conjugate momentum. Gravity enhances the growth of density perturbations, which then collapse and virialize, forming long-lived stable oscillon-like stars that reach compactnesses $\mathcal{C}\equiv GM/R \sim 10^{-3}-10^{-2}$. We find that $\mathcal{C}$ increases for larger field models, until it peaks due to the interplay between the overdensity growth and Hubble expansion rates. Whilst gravitational effects can play an important role in the formation of compact oscillons during preheating, the objects are unlikely to collapse into primordial black holes without an additional enhancement of the initial inflationary fluctuations."
Prospects for detection of ultra high frequency gravitational waves from compact binary coalescenses with resonant cavities,"Aurélien Barrau, Juan García-Bellido, Thierry Grenet, Killian Martineau",2303.06006,gr-qc,,3,"This article aims at clarifying the situation about astrophysical sources that might be observed with haloscope experiments sensitive to gravitational waves in the 1-10 GHz band. The GrAHal setup is taken as a benchmark. We follow a very pedagogical path so that the full analysis can easily be used by the entire community who might not be familiar with the theoretical framework. Different relevant physical regimes are considered in details and some formulas encountered in the literature are revised. The distances that can be probed and expected event rates are carefully evaluated, taking into account degeneracies between physical parameters. We show where experimental efforts should be focused to improve the sensitivity and we conclude that any detection in the near future is extremely unlikely."
Algorithm of the selection of materials for detector of high-frequency gravitational waves,S.V. Goryainov,,,,0,
String Cosmology: from the Early Universe to Today,"Michele Cicoli, Joseph P. Conlon, Anshuman Maharana, Susha Parameswaran, Fernando Quevedo",2303.04819,hep-th,,49,"We review applications of string theory to cosmology, from primordial times to the present-day accelerated expansion. Starting with a brief overview of cosmology and string compactifications, we discuss in detail moduli stabilisation, inflation in string theory, the impact of string theory on post-inflationary dynamics (reheating, moduli domination, kination), dark energy (the cosmological constant from a string landscape and models of quintessence) and various alternative scenarios (string/brane gases, the pre big-bang scenario, rolling tachyons, ekpyrotic/cyclic cosmologies, bubbles of nothing, S-brane and holographic cosmologies). The state of the art in string constructions is described in each topic and, where relevant, connections to swampland conjectures are made. The possibilities for novel particles and excitations (axions, moduli, cosmic strings, branes, solitons, oscillons and boson stars) are emphasised. Implications for the physics of the CMB, gravitational waves, dark matter and dark radiation are discussed along with potential observational signatures."
Electromagnetic counterparts of high-frequency gravitational waves in a rotating laboratory frame system and their detection,"Fang-Yu Li, Hao Yu, Jin Li, Lian-Fu Wei, Qing-Quan Jiang",2303.03974,gr-qc,10.1103/PhysRevD.108.065014,1,"We consider the perturbative photon flows (PPFs, i.e., electromagnetic (EM) counterparts) generated by the EM resonance response to high-frequency gravitational waves (HFGWs) with additional polarization states in a rotating laboratory frame system. It is found that when the propagating direction of HFGWs and the symmetrical axis of the laboratory frame system are the same, the PPFs have the maximum value. In this case, using the rotation (the rotation of the azimuth $\phi$) of the EM detection system, all six possible polarization states of HFGWs can be separated and displayed. For the current experimental conditions, it is quite prospective to detect the PPFs generated by the HFGWs predicted in the braneworld models, the primordial black hole theories, the interaction mechanism between astrophysical plasma and intense EM radiation, etc., due to the large amplitudes (or high spectral densities) and spectral characteristics of these HFGWs. Detecting the primordial HFGWs from inflation faces great challenges at present, but it is not impossible."
Testing BSM physics with gravitational waves,"Francesco Muia, Fernando Quevedo, Andreas Schachner, Gonzalo Villa",2303.01548,hep-ph,10.1088/1475-7516/2023/09/006,5,"The Cosmic Gravitational Wave Background (CGWB) is an irreducible background of gravitational waves generated by particle exchange in the early Universe plasma. Standard Model particles contribute to such a stochastic background with a peak at $f\sim 80$ GHz. Any physics beyond the Standard Model (BSM) may modify the CGWB spectrum, making it a potential testing ground for BSM physics. We consider the impact of general BSM scenarios on the CGWB, including an arbitrary number of hidden sectors. We find that the largest amplitude of the CGWB comes from the sector that dominates the energy density after reheating and confirm the dominance of the SM for standard cosmological histories. For non-standard cosmological histories, such as those with a stiff equation of state $\omega >1/3$, like in kination, BSM physics may dominate and modify the spectrum substantially. We conclude that, if the CGWB is detected at lower frequencies and amplitudes compared to that of the SM, it will hint at extra massive degrees of freedom or hidden sectors. If it is instead measured at higher values, it will imply a period with $\omega >1/3$. We argue that for scenarios with periods of kination in the early Universe, a significant fraction of the parameter space can be ruled out from dark radiation bounds at BBN."
Primordial gravitational waves from black hole evaporation in standard and nonstandard cosmologies,"Aurora Ireland, Stefano Profumo, Jordan Scharnhorst",2302.10188,gr-qc,10.1103/PhysRevD.107.104021,8,"Gravitons radiated from light, evaporating black holes contribute to the stochastic background of gravitational waves. The spectrum of such emission depends on both the mass and the spin of the black holes, as well as on the redshifting that occurs between the black hole formation and today. This, in turn, depends on the expansion history of the universe, which is largely unknown and unconstrained at times prior to the synthesis of light elements. Here, we explore the features of the stochastic background of gravitational waves from black hole evaporation under a broad range of possible early cosmological histories. The resulting gravitational wave signals typically peak at very high frequencies, and offer opportunities for proposed ultra-high frequency gravitational wave detectors. Lower-frequency peaks are also possible, albeit with a suppressed intensity that is likely well below the threshold of detectability. We find that the largest intensity peaks correspond to cosmologies dominated by fluids with equations of state that have large pressure-to-density ratios. Such scenarios can be constrained on the basis of violation of $\Delta N_{\rm eff}$ bounds."
Graviton-Photon Conversion in Atoms and the Detection of Gravitons,"Jin Dai, Gui-Rong Liang",2302.07044,gr-qc,,0,"We study graviton-photon conversion in potential ground-based experiments. From graviton to photon transition, we calculate the cross section of graviton-atom interaction in the presence of spherical atomic electric fields; the obtained results hold for graviton energy around 100 keV to 1 GeV, and would be enhanced along the coherent length in extremely high frequencies; thus it gives a chance to catch MeV level gravitons from the universe with current neutrino facilities. From photon to graviton transition, we propose an experiment using entangled photon pairs to count missing photons passing through transverse magnetic tunnel, which could be used to verify the energy quantization of gravitational field."
Gravitational wave from graviton Bremsstrahlung during reheating,"Basabendu Barman, Nicolás Bernal, Yong Xu, Óscar Zapata",2301.11345,hep-ph,10.1088/1475-7516/2023/05/019,6,"We revisit graviton production via Bremsstrahlung from the decay of the inflaton during inflationary reheating. Using two complementary computational techniques, we first show that such 3-body differential decay rates differ from previously reported results in the literature. We then compute the stochastic gravitational wave (GW) background that forms during the period of reheating, when the inflaton perturbatively decays with the radiative emission of gravitons. By computing the number of relativistic degrees of freedom in terms of $\Delta N_\text{eff}$, we constrain the resulting GW energy density from BBN and CMB. Finally, we project current and future GW detector sensitivities in probing such a stochastic GW background, which typically peaks in the GHz to THz ballpark, opening up the opportunity to be detected with microwave cavities and space-based GW detectors."
Detection of high-frequency gravitational waves using high-energy pulsed lasers,"Georgios Vacalis, Giacomo Marocco, James Bamber, Robert Bingham, Gianluca Gregori",2301.08163,gr-qc,10.1088/1361-6382/acd517,1,"We propose a new method for detecting high-frequency gravitational waves (GWs) using high-energy pulsed lasers. Through the inverse Gertsenshtein effect, the interaction between a GW and the laser beam results in the creation of an electromagnetic signal. The latter can be detected using single-photon counting techniques. We compute the minimal strain of a detectable GW which only depends on the laser parameters. We find that a resonance occurs in this process when the frequency of the GW is twice the frequency of the laser. With this method, the frequency range $10^{13}-10^{19} $ Hz is explored non-continuously for strains $h \gtrsim 10^{-20}$ for current laser systems and can be extended to $h \gtrsim 10^{-26}$ with future generation facilities."
Superradiance Properties of Light Black Holes and10−1210^{-12}10−12-102110^{21}1021eV Bosons,Caner Ünal,2301.08267,hep-ph,,3,"We derive the minimum spin value for the light black holes, $10^{-33}-1 \; M_\odot$ ($1-10^{33} \; {\rm gr}$), to experience superradiance via scalar, vector and tensor perturbations, corresponding to boson mass range $10^{-12}-10^{21}$ eV. We find that superradiance instability can happen even for very low spin values, ${\tilde a} \sim 10^{-5}-10^{-2}$. Since light black holes (BHs) are very unstable to these perturbations and sensitive probes of bosonic particles, a single moderately spinning BH can probe/cover 2-5 orders of magnitude scalar (axion), vector (dark photon and/or photon with effective mass) and spin-2 mass. If superradiance exists, this drives the spin of the BH to almost zero immediately, independent of the BH formation mechanism. In the case that superradiance is not observed due to self-interactions, we find limits on the axion decay constant and energy density. We finally discuss briefly the implications on the Standard Model bosons and Higgs self-interaction."
Detecting the heterodyning of gravitational waves,"Jakob Stegmann, Sander M. Vermeulen",2301.02672,gr-qc,,3,"Gravitational waves modulate the apparent frequencies of other periodic signals. We propose to use this effect to detect low-frequency gravitational waves by searching for correlated frequency modulations in a large set of well-resolved gravitational wave signals. We apply our proposed method to the large number of gravitational wave signals from Galactic binary white dwarfs that are expected to be detected with the planned space-based gravitational wave detector LISA. We show that, given current projections for the number and properties of these sources and the sensitivity of the instrument, this method would enable the detection of background gravitational wave strain amplitudes of, e.g., $A\simeq10^{-10}$ at a frequency $F\simeq10^{-8}\,\rm Hz$. When using signals from binary neutron stars such as those expected to be observed with proposed detectors like DECIGO, we expect a sensitivity to gravitational waves competitive with that of current Pulsar Timing Arrays. This would allow the detection of gravitational waves from, e.g., super-massive black hole binaries with chirp masses $M_c\gtrsim10^9\,\rm M_\odot$ at a distance $D\simeq10\,\rm Mpc$. Our results show that gravitational-wave detectors could be sensitive at frequencies outside of their designed bandwidth using the same infrastructure. This has the potential to open up unexplored and otherwise inaccessible parts of the gravitational wave spectrum."
A simple derivation of the Gertsenshtein effect,"Andrea Palessandro, Tony Rothman",2301.02072,gr-qc,10.1016/j.dark.2023.101187,7,"As shown by Gertsenshtein in 1961, an external magnetic field can catalyze the mixing of graviton and photon states in a manner analogous to neutrino-flavor oscillations. We first present a straightforward derivation of the mechanism by a method based on unpublished notes of Freeman Dyson. We next extend his method to include boundary conditions and retrieve the results of Boccaletti et al. from 1970. We point out that, although the coupling between the graviton and photon states is extremely weak, the large magnetic fields around neutron stars $\sim 10^{14}$ G make the Gertsenshtein effect a plausible source of gravitons. We also point out that axion-photon mixing, a subject of active current research, is essentially the same process as the Gertsenshtein effect, and so the general mechanism may be of broad astrophysical and cosmological interest."
Using Pulsar Parameter Drifts to Detect Sub-Nanohertz Gravitational Waves,"William DeRocco, Jeff A. Dror",2212.09751,astro-ph.HE,,5,"Gravitational waves with frequencies below 1 nHz are notoriously difficult to detect. With periods exceeding current experimental lifetimes, they induce slow drifts in observables rather than periodic correlations. Observables with well-known intrinsic contributions provide a means to probe this regime. In this work, we demonstrate the viability of using observed pulsar timing parameters to discover such ''ultralow'' frequency gravitational waves, presenting two complementary observables for which the systematic shift induced by ultralow-frequency gravitational waves can be extracted. Using existing data for these parameters, we search the ultralow frequency regime for continuous-wave signals, finding a sensitivity near the expected prediction from supermassive black hole mergers. We do not see an excess in the data, setting a limit on the strain of $ 7.1 \times 10 ^{ - 14} $ at 1 nHz with a sensitivity dropping approximately quadratically with frequency until 10 pHz. Our search method opens a new frequency range for gravitational wave detection and has profound implications for astrophysics, cosmology, and particle physics."
Formal theory: status and outlook,Fernando Quevedo,2212.05651,hep-ph,10.22323/1.414.0027,0,"A very brief overview is presented on some of the current most active areas of research in formal aspects of High Energy Physics and Cosmology. Including the recent breakthrough on the black hole information paradox, developments on amplitudes, the bootstrap and swampland programmes as well as progress towards realistic UV complete models of particle physics and cosmology. Perspectives on future contact with observations are discussed, emphasising the long term prospect for ultra high frequency gravitational waves to test early universe physics beyond the Standard Model."
Exploring high-frequency gravitational waves with magnons,"Asuka Ito, Jiro Soda",2212.04094,gr-qc,10.1140/epjc/s10052-023-11876-2,12,"Detecting gravitational waves with frequencies higher than 10 kHz requires new strategies. In previous papers, we proposed magnon gravitational wave detectors and gave the first limit on GHz gravitational waves by reinterpreting the existing data from axion dark matter experiments. In this paper, we show that the sensitivity can be improved by constructing the detector specific to gravitational waves. In particular, we employ an infinite sum of terms in the expansion of Fermi normal coordinates to probe gravitational waves with a wavelength comparable to the detector size. As a consequence, we obtain sensitivity of around $h_c \sim 10^{-20}$."
Freezing-In Gravitational Waves,"Jacopo Ghiglieri, Jan Schütte-Engel, Enrico Speranza",2211.16513,hep-ph,,13,"The thermal plasma in the early universe produced a stochastic gravitational wave (GW) background, which peaks today in the microwave regime and was dubbed the cosmic gravitational microwave background (CGMB). In previous works only single graviton production processes that contribute to the CGMB have been considered. Here we also investigate graviton pair production processes and show that these can lead to a significant contribution if the maximum temperature of the universe in units of Planck mass divided by the internal coupling in the heat bath is large enough. As the dark matter freeze-in production mechanism is conceptually very similar to the GW production mechanism from the primordial thermal plasma, we refer to the latter as ""GW freeze-in production"". We also show that quantum gravity effects arising in single graviton production are smaller than the leading order result by a factor of the square of the ratio between the maximum temperature and the Planck mass. In our work we explicitly compute the CGMB spectrum within a scalar model with quartic interaction."
Bremsstrahlung high-frequency gravitational wave signatures of high-scale nonthermal leptogenesis,"Anish Ghoshal, Rome Samanta, Graham White",2211.10433,hep-ph,10.1103/PhysRevD.108.035019,10,"Inflaton seeds non-thermal leptogenesis by pair producing right-handed neutrinos in the seesaw model. We show that the inevitable graviton bremsstrahlung associated with inflaton decay can be a unique probe of non-thermal leptogenesis. The emitted gravitons contribute to a high-frequency stochastic gravitational waves background with a characteristic fall-off below the peak frequency. Besides leading to a lower bound on the frequency ($f\gtrsim 10^{11}$ Hz), the seesaw-perturbativity condition makes the mechanism sensitive to the lightest neutrino mass. For an inflaton mass close to the Planck scale, the gravitational waves contribute to sizeable dark radiation, which is within the projected sensitivity limits of future experiments such as CMB-S4 and CMB-HD."
"Baryogenesis, primordial black holes and MHz–GHz gravitational waves","Thomas C. Gehrman, Barmak Shams Es Haghi, Kuver Sinha, Tao Xu",2211.08431,hep-ph,10.1088/1475-7516/2023/02/062,25,"Gravitational waves (GWs) in the MHz - GHz frequency range are motivated by a host of early Universe phenomena such as oscillons, preheating, and cosmic strings. We point out that baryogenesis too serves as a motivation to probe GWs in this frequency range. The connection is through primordial black holes (PBHs): on the one hand, PBHs induce baryogenesis by Hawking evaporating into a species that has baryon number and $CP$ violating decays; on the other, PBHs induce GWs through second order effects when the scalar fluctuations responsible for their formation re-enter the horizon. We describe the interplay of the parameters responsible for successful baryogenesis on the plane of the strain and frequency of the induced GWs, being careful to delineate regimes where PBH domination or washout effects occur. We provide semi-analytic scalings of the GW strain with the baryon number to entropy ratio and other parameters important for baryogenesis. Along the way, we sketch a solution to the dark matter-baryogenesis coincidence problem with two populations of PBHs, which leads to a double-peaked GW signal. Our results underscore the importance of probing the ultra high frequency GW frontier."
Black holes and nilmanifolds: quasinormal modes as the fingerprints of extra dimensions?,"Anna Chrysostomou, Alan Cornell, Aldo Deandrea, Étienne Ligout, Dimitrios Tsimpis",2211.08489,gr-qc,10.1140/epjc/s10052-023-11496-w,3,"We investigate whether quasinormal modes (QNMs) can be used in the search for signatures of extra dimensions. To address a gap in the Beyond the Standard Model (BSM) literature, we focus here on higher dimensions characterised by negative Ricci curvature. As a first step, we consider a product space comprised of a four-dimensional Schwarzschild black hole space-time and a three-dimensional nilmanifold (twisted torus); we model the black hole perturbations as a scalar test field. We suggest that the extra-dimensional geometry can be stylised in the QNM effective potential as a squared mass-like term representing the Kaluza-Klein (KK) spectrum. We then compute the corresponding QNM spectrum using three different numerical methods, and determine a possible ``detectability bound"" beyond which KK masses cannot be detected using QNMs."
Single-Photon Signal Sideband Detection for High-Power Michelson Interferometers,Lee McCuller,2211.04016,physics.ins-det,,10,"The Michelson interferometer is a cornerstone of experimental physics. Its applications range from providing first impressions of wave interference in educational settings to probing spacetime at minuscule precision scales. Interferometer precision provides a unique view of the fundamental medium of matter and energy, enabling tests for new physics as well as searches for the gravitational wave signatures of distant astrophysical events. Optical interferometers are typically operated by continuously measuring the power at their output port. Signal perturbations then create sideband fields, forming a beat-note with the fringe light that modulates that power. When operated at a nearly-dark destructive interference fringe, this readout is a form of homodyne detection, with an imprecision set by a ``standard quantum limit'' attributed to shot noise from quantum vacuum fluctuations. The sideband signal fields carry energy which can, alternatively, be directly observed as photons distinct from the source laser. Without signal energy, vacuum does not form sidebands and cannot spuriously create photon counts or shot noise. Thus, counting can offer improved statistics when searching for weak signals when classical backgrounds are below the standard quantum limit. Here, photon counting statistics are described for optical interferometry, relating the two forms of measurement and showing cases where counting greatly outperforms homodyne readout, even with squeezed state quantum enhancement. The most immediate application for photon counting is improving searches of stochastic signals, such as from quantum gravity or from new particle fields. The advantages of counting may extend to wider applications, such as gravitational wave detectors, and the concept of Fisher-information representative spectral density is introduced to motivate further study."
Experimental system to detect the electromagnetic response of high-frequency gravitational waves,"H. Zheng, L.F. Wei",,,10.1103/PhysRevD.106.104003,2,
Continuous gravitational wave detection to understand the generation mechanism of fast radio bursts,"Surajit Kalita, Amanda Weltman",2211.00940,astro-ph.HE,10.1093/mnras/stad392,3,"Since the unexpected discovery of fast radio bursts (FRBs), researchers have proposed varied theories and models to explain these phenomena. One such model that has recently been developed incorporates the so-called Gertsenshtein-Zel'dovich (GZ) effect, which states that when gravitational waves traverse a pulsar magnetosphere, a portion of the gravitational radiation is transformed into electromagnetic (EM) radiation. The observed properties of FRBs are consistent with the properties of this EM radiation, implying, remarkably, that the GZ effect can account for both repeating and non-repeating FRBs. If this model is correct, the pulsar's properties should not change over time, and it would continue to emit both EM dipole and gravitational quadrupole radiation for a long period of time. This article targets the gravitational radiation produced by the pulsar mechanism and shows that several proposed gravitational wave detectors can detect these gravitational waves. If such detections are performed in the future from the location of FRBs, it might validate the GZ process for FRB production and potentially rule out several other theories of FRB generation."
Charting Cosmological History and New Particle Physics with Primordial Gravitational Waves,Peera Simakachorn,,,,1,
On Vacuum Structures and Quantum Corrections in String Theory,Andreas Schachner,,,10.17863/CAM.89738,0,
Numerical Modelling of the Dynamics and Gravitational Radiation of Compact Binaries in General Relativity,Robin Croft,,,10.17863/CAM.97150,0,
Parity violating gravitational waves at the end of inflation,"Mar Bastero-Gil, António Torres Manso",2209.15572,gr-qc,10.1088/1475-7516/2023/08/001,7,"Inflaton-vector interactions of the type $\phi F\tilde{F}$ have provided interesting phenomenology to tackle some of current problems in cosmology, namely the vectors could constitute the dark matter component. It could also lead to possible signatures imprinted in a gravitational wave spectrum. Through this coupling, a rolling inflaton induces an exponential production of the transverse polarizations of the vector field, having a maximum at the end of inflation when the inflaton field velocity is at its maximum. These gauge particles, already parity asymmetric, will source the tensor components of the metric perturbations, leading to the production of parity violating gravitational waves. In this work we examine the vector particle production with an attempt to mimic its backreaction effects on the inflation evolution in the weak coupling regime. Furthermore, we fully integrate the gauge particle amplitudes spectrum during this production epoch, studying the behavior until the end of reheating. Finally, we calculate the gravitational wave spectrum solely relying on the vector mode WKB expansion in its regime of validity."
Gravitational waves and primordial black holes from chirality imbalanced QCD first-order phase transition withPandCPviolation,"Jingdong Shao, Mei Huang",2209.13809,hep-ph,10.1103/PhysRevD.107.043011,4,"The chirality imbalance in QCD is spontaneously induced by a repulsive axial-vector interaction from the instanton anti-instanton pairing at high temperature above the chiral phase transition, and vanishes at low temperature. The chiral chemical potential $\mu_5$ is in the same magnitude as estimated from the sphaleron transition. Phase transition of the chirality imbalance is always a first-order one in the early universe with $\mathcal {P}$ and $\mathcal {CP}$ violation. The spectra of gravitational waves and the formation of the primordial black holes from this first-order phase transition is investigated in this work, and the effect of a strong magnetic field is also analyzed. The gravitational waves produced by chirality imbalance can be detected by LISA, Taiji and DECIGO, with the peak energy density locating in the range of $10^{-11}$ to $10^{-9}$ and the peak frequencies lying in the range of $10^{-5}$ Hz to $10^{-2}$ Hz. The spectrum with larger axial vector coupling strength and stronger magnetic field has higher peak energy density and lower peak frequency. According to this trend, the gravitational waves spectra might also be able to be detected by SKA, IPTA and EPTA. The Phase transition inverse duration $\beta/H_*$ calculated from the bounce solution is in the order of $10^4$, which is much higher than typical value $10-100$ from electroweak phase transitions. Based on the mechanism of postponement of the false vacuum decay, it is found that the formation of the primordial black hole is not favored because the phase transition completes in an extreme short time due to the large value of $\beta/H_*$ and thus the false vacuum energy density decays sharply."
Searching for Gravitational Waves with CMS,"Kristof Schmieden, Matthias Schott",2209.12024,gr-qc,,1,"The idea of searching for gravitational waves using cavities in strong magnetic fields has recently received significant attention. Most concepts foresee moderate magnetic fields in rather small volumes, similar to those which are currently employed for axion-like particle searches. We propose to use the magnet system of the Compact Muon Solenoid (CMS) experiment after the high luminosity phase of the LHC as a key component for a future detector for gravitational waves in the MHz frequency range. In this paper we briefly discuss a possible cavity concept which can be integrated into CMS and additionally provide a first estimation of its possible sensitivity."
Resonant production of light sterile neutrinos in compact binary merger remnants,"Garðar Sigurðarson, Irene Tamborra, Meng-Ru Wu",2209.07544,astro-ph.HE,10.1103/PhysRevD.106.123030,1,"The existence of eV-mass sterile neutrinos is not ruled out because of persistent experimental anomalies. Upcoming multi-messenger detections of neutron-star merger remnants could provide indirect constraints on the existence of these particles. We explore the active-sterile flavor conversion phenomenology in a two-flavor scenario (1 active + 1 sterile species) as a function of the sterile neutrino mixing parameters, neutrino emission angle from the accretion torus, and temporal evolution of the merger remnant. The torus geometry and the neutron richness of the remnant are responsible for the occurrence of multiple resonant active-sterile conversions. The number of resonances strongly depends on the neutrino emission direction above or inside the remnant torus and leads to large production of sterile neutrinos (and no antineutrinos) in the proximity of the polar axis as well as more sterile antineutrinos than neutrinos in the equatorial region. As the black hole torus evolves in time, the shallower baryon density is responsible for more adiabatic flavor conversion, leading to larger regions of the mass-mixing parameter space being affected by flavor mixing. Our findings imply that the production of sterile states could have indirect implications on the disk cooling rate, its outflows, and related electromagnetic observables which remain to be assessed."
From inflation to black hole mergers and back again: Gravitational-wave data-driven constraints on inflationary scenarios with a first-principle model of primordial black holes across the QCD epoch,"Gabriele Franciolini, Ilia Musco, Paolo Pani, Alfredo Urbano",2209.05959,astro-ph.CO,10.1103/PhysRevD.106.123526,59,"Recent population studies have searched for a subpopulation of primordial black holes (PBHs) in the gravitational-wave (GW) events so far detected by LIGO/Virgo/KAGRA (LVK), in most cases adopting a phenomenological PBH mass distribution. When deriving such population from first principles in the standard scenario, however, the equation of state of the Universe at the time of PBH formation may strongly affect the PBH abundance and mass distribution, which ultimately depend on the power spectrum of cosmological perturbations. Here we improve on previous population studies on several aspects: (i) we adopt state-of-the-art PBH formation models describing the collapse of cosmological perturbations across the QCD epoch; (ii) we perform the first Bayesian multi-population inference on GW data including PBHs and directly using power spectrum parameters instead of phenomenological distributions; (iii) we critically confront the PBH scenario with LVK phenomenological models describing the GWTC-3 catalog both in the neutron-star and in the BH mass ranges, also considering PBHs as subpopulation of the total events. Our results confirm that LVK observations prevent the majority of the dark matter to be in the form of stellar mass PBHs. We find that the best fit PBH model can comprise a small fraction of the total events, in particular it can naturally explain events in the mass gaps. If the lower mass-gap event GW190814 is interpreted as a PBH binary, we predict that LVK should detect up to a few subsolar mergers and one to $\approx 30$ lower mass gap events during the upcoming O4 and O5 runs. Finally, mapping back the best-fit power spectrum into an ultra slow-roll inflationary scenario, we show that the latter predicts detectable PBH mergers in the LVK band, a stochastic GW background detectable by current and future instruments, and may include the entirety of dark matter in asteroid-mass PBHs."
Comparing Instrument Spectral Sensitivity of Dissimilar Electromagnetic Haloscopes to Axion Dark Matter and High Frequency Gravitational Waves,"Michael E. Tobar, Catriona A. Thomson, William M. Campbell, Aaron Quiskamp, Jeremy F. Bourhill",2209.03004,physics.ins-det,10.3390/sym14102165,11,"It is known that haloscopes that search for dark matter axions via the axion-photon anomaly are also sensitive to gravitational radiation through the inverse Gertsenshtein effect. Recently this way of searching for high frequency gravitational waves has gained momentum as it has been shown that the strain sensitivities of such detectors are of the same order of sensitivity to the axion-photon theta angle. Thus, after calculating the sensitivity of a haloscope to an axion signal, we also have calculated the order of magnitude sensitivity to a gravitational wave signal of the same spectral and temporal form. However, it is unlikely that a gravitational wave and an axion signal will be of the same form, since physically the way the signals are generated are completely different. For gravitational wave detection, the spectral strain sensitivity is in units strain per square root Hz, is the natural way to compare the sensitivity of gravitational wave detectors due to its independence on the gravitational wave signal. In this work, we introduce a systematic way to calculate the spectral sensitivity of an axion haloscope, so instrument comparison may be achieved independent of signal assumptions and only depends on the axion to signal transduction sensitivity and noise in the instrument. Thus, the calculation of the spectral sensitivity not only allows the comparison of dissimilar axion detectors independent of signal, but also allows us to compare the order of magnitude gravitational wave sensitivity in terms of spectral strain sensitivity, allowing comparisons to standard gravitational wave detectors based on optical interferometers and resonant-mass technology."
The Challenge of Ruling Out Inflation via the Primordial Graviton Background,"Sunny Vagnozzi, Abraham Loeb",2208.14088,astro-ph.CO,10.3847/2041-8213/ac9b0e,20,"Recent debates around the testability of the inflationary paradigm raise the question of how to model-independently discriminate it from competing scenarios. We argue that a detection of the Cosmic Graviton Background (CGB), the relic radiation from gravitons decoupling around the Planck time, would rule out the inflationary paradigm, as realistic inflationary models would dilute the CGB to an unobservable level. The CGB contribution to the effective number of relativistic species, $\Delta N_{{\rm eff},g} \approx 0.054$, is well within the reach of next-generation cosmological probes. We argue that detecting the high-frequency stochastic gravitational wave background associated to the CGB will be challenging but potentially feasible. We briefly discuss expectations within alternatives to inflation, focusing on bouncing cosmologies and emergent scenarios."
Quantum gravitational signatures in next-generation gravitational wave detectors,"Saurya Das, S. Shankaranarayanan, Vasil Todorinov",2208.11095,gr-qc,10.1016/j.physletb.2022.137511,3,"A recent study established a correspondence between the Generalized Uncertainty Principle (GUP) and Modified theories of gravity, particularly Stelle gravity. We investigate the consequences of this correspondence for inflation and cosmological observables by evaluating the power spectrum of the scalar and tensor perturbations using two distinct methods. First, we employ PLANCK observations to determine the GUP parameter $\gamma_0$. Then, we use the value of $\gamma_0$ to investigate the implications of quantum gravity on the power spectrum of primordial gravitational waves and their possible detectability in the next-generation detectors, like Einstein Telescope and Cosmic explorer."
Cosmic Explorer: A Next-Generation Ground-Based Gravitational-Wave Observatory,Evan D. Hall,,,10.3390/galaxies10040090,15,
